title,publisher
title,publisher
木卫四协议,/volume4/RDM_12T/02.Games/PS4/20220224-木卫四协议/
盐与献祭,/volume4/RDM_12T/02.Games/PS4/20220809-盐与献祭/
迷失,/volume4/RDM_12T/02.Games/PS4/20220809-迷失/
使命召唤.高级战争2,/volume4/RDM_12T/02.Games/PS4/20221216—使命召唤.高级战争2/
如龙维新：极,/volume4/RDM_12T/02.Games/PS4/20230315-如龙维新：极/
原子之心,/volume4/RDM_12T/02.Games/PS4/20230320-原子之心/
八方旅人2,/volume4/RDM_12T/02.Games/PS4/20230324-八方旅人2/
生化危机4：重制版,/volume4/RDM_12T/02.Games/PS4/20230324-生化危机4：重制版/
模拟建筑,/volume4/RDM_12T/02.Games/PS4/20230407-模拟建筑/
匹诺曹的谎言,/volume4/RDM_12T/02.Games/PS4/20230921-匹诺曹的谎言/
刺客信条：幻景,/volume4/RDM_12T/02.Games/PS4/20231007-刺客信条：幻景/
伊苏X：北境历险,/volume4/RDM_12T/02.Games/PS4/20231022-伊苏X：北境历险/
荒野大镖客：救赎,/volume4/RDM_12T/02.Games/PS4/20231022-荒野大镖客：救赎/
[WATCH,/volume4/RDM_12T/02.Games/PS4/CUSA04294-[WATCH
DOG,DOG
2][405],2][405]/
死亡细胞,/volume4/RDM_12T/02.Games/PS4/CUSA11253-死亡细胞/
忍者龙剑传1,/volume4/RDM_12T/02.Games/PS4/CUSA25889-忍者龙剑传1
重置,重置/
湮灭的记忆,/volume4/RDM_12T/02.Games/PS4/CUSA28183-审判之逝-湮灭的记忆/
/volume4/RDM_12T/02.Games/PS4/DEAD,/volume4/RDM_12T/02.Games/PS4/DEAD
OR,OR
ALIVE,ALIVE
Xtreme,Xtreme
3,3
Fortune,Fortune/
/volume4/RDM_12T/02.Games/PS4/Death,/volume4/RDM_12T/02.Games/PS4/Death
Come,Come
True,True
CUSA24034,CUSA24034
Base,Base/
/volume4/RDM_12T/02.Games/PS4/DeathStranding,/volume4/RDM_12T/02.Games/PS4/DeathStranding/
维吉尔,/volume4/RDM_12T/02.Games/PS4/DMC-鬼泣5-维吉尔/
/volume4/RDM_12T/02.Games/PS4/@eaDir,/volume4/RDM_12T/02.Games/PS4/@eaDir/
/volume4/RDM_12T/02.Games/PS4/FF15,/volume4/RDM_12T/02.Games/PS4/FF15/
/volume4/RDM_12T/02.Games/PS4/FF7,/volume4/RDM_12T/02.Games/PS4/FF7/
/volume4/RDM_12T/02.Games/PS4/FINAL,/volume4/RDM_12T/02.Games/PS4/FINAL
FANTASY,FANTASY
VIII,VIII
CUSA08751,Remastered-CUSA08751/
/volume4/RDM_12T/02.Games/PS4/F,/volume4/RDM_12T/02.Games/PS4/F
